"id","name","gender","relation","reverse_male","reverse_female"
"__export__.eagleedu_guardian_relation_11_edb5b9df","Father","Male","Father","Son","Daughter"
"__export__.eagleedu_guardian_relation_12_80f4ed4a","Mother","Female","mother","Son","Daughter"
"__export__.eagleedu_guardian_relation_13_f4476feb","Brother","Male","Brother","Brother","Sister"
"__export__.eagleedu_guardian_relation_14_d5ba5e24","Sister","Female","Sister","Brother","Sister"
"__export__.eagleedu_guardian_relation_15_650eef83","Uncle","Male","Uncle","Nephew","Nice"
"__export__.eagleedu_guardian_relation_16_c42daba0","Cousin (Female)","Female","Cousin","Cousin","cousin"
"__export__.eagleedu_guardian_relation_17_8d6576ec","Grand Father","Male","Grand Father","Grand Son","Grand Daughter"
"__export__.eagleedu_guardian_relation_18_21ba2c52","Grand Mother","Female","Grand Mother","Grand Son","Grand Daughter"
"__export__.eagleedu_guardian_relation_19_00f8e19c","Cousin (Male)","Male","Cousin","Cousin","cousin"
